,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,5419932.64,,,,,,,,
DATE,SALES,CASH,CHQ,adj,NET ,,OUTSTANDING,,DIFF,SALES RETURN,,,
12-02-2021,708918.00,262467.00,87664.00,267.00,6363549.00,,7635575,,-1272026.00,225.85,,,
13-02-2021,453887.00,183046.00,0.00,0.00,6634390.00,,7906416,,-1272026.00,0,,,
14-02-2021,0.00,0.00,0.00,0.00,6634390.00,,7906416,,-1272026.00,0,,,
15-02-2021,646947.00,298764.00,0.00,0.00,6982573.00,,8254599,,-1272026.00,0,,,
16-02-2021,600074.00,209461.00,452459.00,0.00,6920727.00,,8192753,,-1272026.00,0,,,
17-02-2021,646095.00,228117.00,551878.00,0.00,6786827.00,,8058853,,-1272026.00,0,,,
18-02-2021,1111751.00,292381.00,390632.00,0.00,7215565.00,,8487591,,-1272026.00,0,,,
19-02-2021,1013774.00,401071.00,576110.00,0.00,7252158.00,,8524184,,-1272026.00,0,,,
20-02-2021,801919.00,448948.00,582668.00,1303.00,7021158.00,,8293184,,-1272026.00,0,,,
21-02-2021,0.00,0.00,0.00,0.00,7021158.00,,8293184,,-1272026.00,0,,,
22-02-2021,771310.00,279873.00,179176.00,1155.00,7332264.00,,8605445,,-1273181.00,1048.74,,,
23-02-2021,790710.00,295497.00,188544.00,0.00,7638933.00,,8912114,,-1273181.00,0,,,
24-02-2021,334506.00,170273.00,200347.00,0.00,7602819.00,,8876000,,-1273181.00,0,,,
25-02-2021,501577.00,332977.00,172401.00,0.00,7599018.00,,8872199,,-1273181.00,0,,,
26-02-2021,647722.00,199850.00,307728.00,0.00,7739162.00,,9012343,,-1273181.00,0,,,
27-02-2021,347766.00,558600.00,877143.00,0.00,6651185.00,,7924366,,-1273181.00,0,,,
28-02-2021,-503.00,0.00,0.00,0.00,6650682.00,,7924408,,-1273726.00,462.25,,,
01-03-2021,722606.00,193979.00,0.00,0.00,7179309.00,,8453035,,-1273726.00,0,,,
02-03-2021,383485.00,176866.00,0.00,0.00,7385928.00,,8659654,,-1273726.00,0,,,
03-03-2021,363011.00,185119.00,1166489.00,0.00,6397331.00,,7671057,,-1273726.00,0,,,
04-03-2021,656381.00,251292.00,370994.00,0.00,6431426.00,,7705153,,-1273727.00,0,,,
05-03-2021,764396.00,192532.00,0.00,0.00,7003290.00,,8277017,,-1273727.00,0,,,
06-03-2021,578816.00,438614.00,352537.00,738.00,6790217.00,,8064714,,-1274497.00,733.81,,,
07-03-2021,0.00,0.00,0.00,0.00,6790217.00,,8064714,,-1274497.00,0,,,
08-03-2021,455194.00,291301.00,0.00,0.00,6954110.00,,8228607,,-1274497.00,0,,,
09-03-2021,437225.00,225835.00,262752.00,6375.28,6896372.72,,8170869.72,,-1274497.00,0,,,
10-03-2021,834181.00,286770.00,0.00,1104.95,7442678.77,,8717175.77,,-1274497.00,0,,,
11-03-2021,428500.00,252540.00,666269.00,0.00,6952369.77,,8226866.77,,-1274497.00,0,,,
12-03-2021,538830.00,265150.00,485671.00,0.00,6740378.77,,8014875.77,,-1274497.00,0,,,
13-03-2021,679201.00,407948.00,0.00,1360.32,7010271.45,,8285756.45,,-1275485.00,876.29,,,
14-03-2021,0.00,0.00,0.00,0.00,7010271.45,,8285756.45,,-1275485.00,0,,,
15-03-2021,828040.00,256999.45,179246.00,330.00,7401736.00,,8677221,,-1275485.00,0,,,
16-03-2021,1092602.00,229850.00,0.00,0.00,8264488.00,,9539973,,-1275485.00,0,,,
17-03-2021,896609.00,276377.00,0.00,0.00,8884720.00,,10160205,,-1275485.00,0,,,
18-03-2021,683689.00,204497.00,0.00,0.00,9363912.00,,10646766,,-1282854.00,6335.16,,,
19-03-2021,818355.00,197270.00,1161330.00,0.00,8823667.00,,10106521,,-1282854.00,0,,,
20-03-2021,1275801.00,418371.00,171290.00,0.00,9509807.00,,10792661,,-1282854.00,0,,,
21-03-2021,0.00,0.00,0.00,0.00,9509807.00,,10792661,,-1282854.00,0,,,
22-03-2021,850177.00,443252.00,124896.00,0.00,9791836.00,,11074690,,-1282854.00,0,,,
23-03-2021,366936.00,323603.00,529141.00,0.00,9306028.00,,10588882,,-1282854.00,0,,,
24-03-2021,744909.00,201268.00,788178.00,0.00,9061491.00,,10344345,,-1282854.00,0,,,
25-03-2021,1239618.00,350113.00,172251.00,0.00,9778745.00,,11061599,,-1282854.00,0,,,
26-03-2021,579116.00,260660.00,596280.00,0.00,9500921.00,,10783775,,-1282854.00,0,,,
27-03-2021,582574.00,404687.00,96501.00,0.00,9582307.00,,10865161,,-1282854.00,0,,,
28-03-2021,0.00,0.00,0.00,0.00,9582307.00,,10865161,,-1282854.00,0,,,
29-03-2021,515970.00,265305.00,0.00,0.00,9832972.00,,11115826,,-1282854.00,0,,,
30-03-2021,288055.00,204069.00,804072.00,0.00,9112886.00,,10396548,,-1283662.00,706.23,,,
31-03-2021,572770.00,355084.00,814219.00,0.00,8516353.00,,9800015,,-1283662.00,0,,,
01-04-2021,656835.00,225908.00,0.00,0.00,8947280.00,,10230942,,-1283662.00,0,,,
